ID_H1,L,v_LSR,v_model,residual,kin
Terzan 9,3.61,68.1,-7.611811375986783,75.71181137598678,False
NGC 6517,19.23,-26.5,-40.58830697032852,14.088306970328517,False
NGC 6522,1.02,-12.9,-2.061563776234045,-10.838436223765955,False
NGC 6535,27.18,-200.4,-56.52199500246542,-143.8780049975346,False
NGC 6528,1.14,214.9,-2.318654200468868,217.21865420046888,False
NGC 6539,20.8,44.4,-43.798448628564444,88.19844862856445,False
NGC 6540,3.29,-8.8,-6.926079805658343,-1.8739201943416575,False
NGC 6544,5.84,-17.7,-12.387417393735443,-5.312582606264556,False
NGC 6541,349.29,-154.2,22.82316151418901,-177.02316151418898,False
NGC 6553,5.26,6.1,-11.146055865087408,17.246055865087406,False
2MS-GC02,9.79,-227.4,-20.81596684102152,-206.58403315897849,False
NGC 6558,0.2,-189.4,-0.30523132335946634,-189.09476867664054,False
IC 1276,21.83,169.2,-45.88895849870898,215.08895849870896,False
Terzan 12,8.37,104.2,-17.792298065727067,121.99229806572707,False
NGC 6569,0.48,-20.3,-0.9048550613552688,-19.395144938644734,False
NGC 6584,342.14,224.9,37.47788014949774,187.42211985050227,False
NGC 6624,2.79,62.1,-5.854537757355765,67.95453775735577,False
NGC 6626,7.8,26.6,-16.576328851892896,43.1763288518929,False
NGC 6638,7.9,27.5,-16.789740109745225,44.289740109745225,False
NGC 6637,1.72,47.5,-3.561428935380537,51.06142893538053,False
NGC 6642,9.81,-47.3,-20.858490515040856,-26.44150948495914,False
NGC 6652,1.53,-104.3,-3.1542859720687133,-101.14571402793129,False
NGC 6656,9.89,-136.6,-21.028566339196345,-115.57143366080365,False
Pal 8,14.11,-32.3,-29.948820916992837,-2.3511790830071604,False
NGC 6681,2.85,227.8,-5.983126187954642,233.78312618795465,False
NGC 6712,25.35,-94.7,-52.93041740603854,-41.76958259396146,False
NGC 6715,5.61,149.2,-11.895231769663006,161.095231769663,False
NGC 6717,12.88,32.7,-27.36044043697239,60.06044043697239,False
NGC 6723,0.07,-88.3,-0.026875182118376806,-88.27312481788162,False
NGC 6749,36.2,-47.2,-73.39470103709915,26.19470103709915,False
NGC 6752,336.49,-27.3,48.59730018013873,-75.89730018013873,False
NGC 6760,36.11,-13.2,-73.23398984343888,60.033989843438874,False
NGC 6779,62.66,-119.1,-111.8369516295328,-7.263048370467189,False
Terzan 7,3.39,172.5,-7.140376997370419,179.64037699737042,False
Pal 10,52.43,-15.6,-99.26609528532423,83.66609528532423,False
Arp 2,8.55,122.4,-18.176039501580288,140.57603950158028,False
NGC 6809,8.79,181.8,-18.687498144623106,200.48749814462312,False
Terzan 8,5.76,136.2,-12.21623473747266,148.41623473747265,False
Pal 11,31.81,-56.0,-65.36786745021574,9.36786745021574,False
NGC 6838,56.75,-7.5,-104.96403486349763,97.46403486349763,False
NGC 6864,20.3,-180.8,-42.779123649113835,-138.02087635088617,False
NGC 6934,52.1,-398.5,-98.80848102519849,-299.6915189748015,True
NGC 6981,35.16,-336.2,-71.52746539205668,-264.6725346079433,True
NGC 7006,63.77,-371.3,-113.00362161213235,-258.29637838786766,True
NGC 7078,65.01,-96.0,-114.25915866732055,18.25915866732055,False
NGC 7089,53.37,3.8,-100.55248679059116,104.35248679059116,False
NGC 7099,27.18,-179.6,-56.52199500246542,-123.07800499753458,False
Pal 12,30.51,32.5,-62.92121020996391,95.4212102099639,False
Pal 13,87.1,30.9,-127.64473642886233,158.54473642886234,False
NGC 7492,53.39,-176.2,-100.57957982422381,-75.62042017577618,False
