ID_H1,_FeH,_Age,FeH,Age,v_LSR,L,B,R_gc,R_G
NGC 362,-1.26,10.0,,,214.0,301.53,-46.25,9.4,
NGC 1851,-1.13,7.64,,,303.8,244.51,-35.03,16.6,
NGC 6535,-1.51,10.5,,,-200.4,27.18,10.44,3.9,
