ID_H1,_FeH,_Age,_vLSR,_Ldeg,_Bdeg,R_gc,_R_G,sig_v,amr_x,amr_y,amr_bin_center,amr_med_age,amr_dAge,flag_young,kin_vfit,kin_resid,kin_sigma,kin_z,flag_kin_lenient,flag_kin_strict,flag_accreted_lenient,flag_accreted_strict
NGC 6838,-0.82,12.7,-7.5,56.75,-4.56,6.7,6.7,2.3,-0.82,12.7,-0.73,12.7,0.0,False,-104.96403486349763,97.46403486349763,125.29403128250387,0.7778825045842991,False,False,False,False
NGC 6864,,,-180.8,20.3,-25.75,14.7,14.7,10.3,,,,,,False,-42.779123649113835,-138.02087635088617,125.29403128250387,-1.101575828777404,False,False,False,False
NGC 6934,-1.32,11.1,-398.5,52.1,-18.89,12.8,12.8,5.1,-1.32,11.1,-1.33,11.6,-0.5,False,-98.80848102519849,-299.6915189748015,125.29403128250387,-2.39190579078008,True,True,False,False
NGC 6981,-1.21,10.9,-336.2,35.16,-32.68,12.9,12.9,,-1.21,10.9,-1.13,11.05,-0.15000000000000036,False,-71.52746539205668,-264.6725346079433,125.29403128250387,-2.1124113567004557,True,True,False,False
NGC 7006,,,-371.3,63.77,-19.41,38.5,38.5,,,,,,,False,-113.00362161213235,-258.29637838786766,125.29403128250387,-2.0615218118848757,True,True,False,False
NGC 7078,-2.33,13.6,-96.0,65.01,-27.31,10.4,10.4,13.5,-2.33,13.6,-2.3305,13.6,0.0,False,-114.25915866732055,18.25915866732055,125.29403128250387,0.14573047479134202,False,False,False,False
NGC 7089,-1.31,11.8,3.8,53.37,-35.77,10.4,10.4,8.2,-1.31,11.8,-1.33,11.6,0.20000000000000107,False,-100.55248679059116,104.35248679059116,125.29403128250387,0.8328607972977161,False,False,False,False
NGC 7099,-2.33,14.6,-179.6,27.18,-46.84,7.1,7.1,5.5,-2.33,14.6,-2.3305,13.6,1.0,False,-56.52199500246542,-123.07800499753458,125.29403128250387,-0.9823133930460521,False,False,False,False
Pal 12,,,32.5,30.51,-47.68,15.8,15.8,,,,,,,False,-62.92121020996391,95.4212102099639,125.29403128250387,0.761578259021893,False,False,False,False
Pal 13,,,30.9,87.1,-42.7,26.9,26.9,0.9,,,,,,False,-127.64473642886233,158.54473642886234,125.29403128250387,1.265381397709099,False,False,False,False
NGC 7492,,,-176.2,53.39,-63.48,25.3,25.3,1.2,,,,,,False,-100.57957982422381,-75.62042017577618,125.29403128250387,-0.6035436756382493,False,False,False,False
