ID_H1,_FeH,_Age,_vLSR,_Ldeg,_Bdeg,R_gc,_R_G,sig_v,amr_x,amr_y,amr_bin_center,amr_med_age,amr_dAge,flag_young,kin_vfit,kin_resid,kin_sigma,kin_z,flag_kin_lenient,flag_kin_strict,flag_accreted_lenient,flag_accreted_strict
NGC 5634,,,-37.5,342.21,49.26,21.2,21.2,,,,,,,False,37.337276175881186,-74.83727617588119,125.29403128250387,-0.597293226260264,False,False,False,False
NGC 5694,,,-136.2,331.06,30.36,29.4,29.4,5.8,,,,,,False,58.79050490055929,-194.99050490055927,125.29403128250387,-1.55626331840907,True,False,False,False
IC 4499,,,24.1,307.35,-20.47,15.7,15.7,2.5,,,,,,False,95.46078797130312,-71.36078797130313,125.29403128250387,-0.5695465876614985,False,False,False,False
NGC 5824,,,-23.8,332.56,22.07,25.9,25.9,11.6,,,,,,False,56.028502503936885,-79.82850250393689,125.29403128250387,-0.6371293323936987,False,False,False,False
Pal 5,,,-48.0,0.85,45.86,18.6,18.6,1.1,,,,,,False,-1.6973777737864428,-46.30262222621356,125.29403128250387,-0.36955169972792856,False,False,False,False
NGC 5897,-1.73,12.3,108.4,342.95,30.29,7.4,7.4,,-1.73,12.3,-1.73,12.5,-0.1999999999999993,False,35.847029506146875,72.55297049385314,125.29403128250387,0.5790616659964111,False,False,False,False
NGC 5904,-1.33,11.5,64.3,3.86,46.8,6.2,6.2,5.5,-1.33,11.5,-1.33,11.6,-0.09999999999999964,False,-8.147492523151959,72.44749252315195,125.29403128250387,0.5782198224574849,False,False,False,False
NGC 5927,-0.64,12.7,-107.2,326.6,4.86,4.6,4.6,,-0.64,12.7,-0.73,12.7,0.0,False,66.73573132753712,-173.93573132753713,125.29403128250387,-1.3882204088027106,False,False,False,False
NGC 5946,,,128.9,327.58,4.19,5.8,5.8,4.0,,,,,,False,65.02573868183424,63.874261318165765,125.29403128250387,0.5097949252997274,False,False,False,False
BH 176,,,,328.41,4.34,12.9,12.9,,,,,,,False,,,,,False,False,False,False
NGC 5986,-1.35,12.2,92.9,337.02,13.27,4.8,4.8,,-1.35,12.2,-1.33,11.6,0.5999999999999996,False,47.5749043237085,45.325095676291504,125.29403128250387,0.36174983925687393,False,False,False,False
Lynga 7,,,8.0,328.77,-2.8,4.3,4.3,,,,,,,False,62.921664268261985,-54.921664268261985,125.29403128250387,-0.4383422235367989,False,False,False,False
Pal 14,,,87.0,28.74,42.19,71.6,71.6,0.4,,,,,,False,-59.54264512432118,146.54264512432118,125.29403128250387,1.1695899926302753,False,False,False,False
NGC 6093,-1.47,12.5,16.7,352.67,19.46,3.8,3.8,12.4,-1.47,12.5,-1.5299999999999998,12.5,0.0,False,15.728366697747385,0.9716333022526147,125.29403128250387,0.0077548251285956835,False,False,False,False
