ID,Name_x,RA,DEC,L,B,R_Sun,R_gc,X,Y,Z,Name_y,FeH,Age,Age_err,Method,Figs,Range,HBtype,R_G,M_V,v_e0,log_sigma_0
NGC 5024,M 53,13:12:55.25,+18:10:05.4,332.96,79.76,17.9,18.4,2.8,-1.4,17.6,M53,-2.06,12.25,0.25,V,12,12.25–12.50,0.81,18.4,-8.71,25.8,3.866
NGC 5053,,13:16:27.09,+17:42:00.9,335.7,78.95,17.4,17.8,3.0,-1.4,17.1,XXXX,-2.3,12.25,0.38,A,12,12.25–12.50,0.52,17.8,-6.76,7.2,2.196
NGC 5272,M 3,13:42:11.62,+28:22:38.2,42.22,78.71,10.2,12.0,1.5,1.3,10.0,M3,-1.5,11.75,0.25,V,22,,0.08,12.0,-8.88,32.1,4.254
NGC 5286,,13:46:26.81,-51:22:27.3,311.61,10.57,11.7,8.9,7.6,-8.6,2.1,XXXX,-1.7,12.5,0.38,A,12-30,11.75–12.25,0.8,8.9,-8.74,42.7,4.628
NGC 5466,,14:05:27.29,+28:32:04.0,42.15,73.59,16.0,16.3,3.3,3.0,15.3,XXXX,-2.31,12.5,0.25,V,11-30,12.25–12.50,0.58,16.3,-6.98,8.6,2.453
NGC 5904,M 5,15:18:33.22,+02:04:51.7,3.86,46.8,7.5,6.2,5.1,0.3,5.5,M5,-1.33,11.5,0.25,V,8,11.50–11.75,0.31,6.2,-8.81,37.0,4.457
NGC 5927,,15:28:00.69,-50:40:22.9,326.6,4.86,7.7,4.6,6.4,-4.2,0.7,XXXX,-0.29,10.75,0.38,V,16,10.50–10.75,-1.0,4.6,-7.81,25.4,4.156
NGC 5986,,15:46:03.00,-37:47:11.1,337.02,13.27,10.4,4.8,9.3,-4.0,2.4,XXXX,-1.63,12.25,0.75,A,30,,0.97,4.8,-8.44,33.1,4.259
NGC 6121,M 4,16:23:35.22,-26:31:32.7,350.97,15.97,2.2,5.9,2.1,-0.3,0.6,M4,-1.18,11.5,0.38,V,13,11.25–11.50,-0.06,5.9,-7.19,20.8,4.07
NGC 6101,,16:25:48.12,-72:12:07.9,317.74,-15.82,15.4,11.2,11.0,-10.0,-4.2,XXXX,-1.98,12.25,0.5,H,30,,0.84,11.2,-6.94,11.8,2.98
NGC 6144,,16:27:13.86,-26:01:24.6,351.93,15.7,8.9,2.7,8.5,-1.2,2.4,XXXX,-1.82,12.75,0.5,H,30,,1.0,2.7,-6.85,10.4,2.975
NGC 6171,M 107,16:32:31.86,-13:03:13.6,3.37,23.01,6.4,3.3,5.9,0.3,2.5,M107,-1.03,12.0,0.75,V,13,,-0.73,3.3,-7.12,18.2,3.832
NGC 6205,M 13,16:41:41.24,+36:27:35.5,59.01,40.91,7.1,8.4,2.8,4.6,4.7,M13,-1.58,12.0,0.38,A,20-22,,0.97,8.4,-8.56,31.7,4.219
NGC 6218,M 12,16:47:14.18,-01:56:54.7,15.72,26.31,4.8,4.5,4.2,1.2,2.1,M12,-1.33,13.0,0.5,A,24-26,,0.98,4.5,-7.31,21.2,3.961
NGC 6254,M 10,16:57:09.05,-04:06:01.1,15.14,23.08,4.4,4.6,3.9,1.1,1.7,M10,-1.57,11.75,0.38,H,30,,0.98,4.6,-7.48,23.9,4.112
NGC 6304,,17:14:32.25,-29:27:43.3,355.83,5.38,5.9,2.3,5.8,-0.4,0.6,XXXX,-0.37,11.25,0.38,V,16,11.00–11.25,-1.0,2.3,-7.3,28.8,4.656
NGC 6341,M 92,17:17:07.39,+43:08:09.4,68.34,34.86,8.3,9.6,2.5,6.3,4.7,M92,-2.35,12.75,0.25,V,11,12.75–13.25,0.91,9.6,-8.21,35.8,4.618
NGC 6352,,17:25:29.11,-48:25:19.8,341.42,-7.17,5.6,3.3,5.3,-1.8,-0.7,XXXX,-0.62,10.75,0.38,V,16,10.50–11.00,-1.0,3.3,-6.47,14.6,3.592
NGC 6366,,17:27:44.24,-05:04:47.5,18.41,16.04,3.5,5.0,3.2,1.1,1.0,XXXX,-0.59,11.0,0.5,V,16,11.00,-0.97,5.0,-5.74,9.8,3.135
NGC 6362,,17:31:54.99,-67:02:54.0,325.55,-17.57,7.6,5.1,6.0,-4.1,-2.3,XXXX,-1.07,12.5,0.25,V,13,12.25–12.75,-0.58,5.1,-6.95,13.5,3.261
NGC 6397,,17:40:42.09,-53:40:27.6,338.17,-11.96,2.3,6.0,2.1,-0.8,-0.5,XXXX,-1.99,13.0,0.25,A,30,13.00,0.98,6.0,-6.64,35.9,5.759
NGC 6496,,17:59:03.68,-44:15:57.4,348.03,-10.01,11.3,4.2,10.9,-2.3,-2.0,XXXX,-0.46,10.75,0.38,V,16,10.50–10.75,-1.0,4.2,-7.2,16.7,3.459
NGC 6535,,18:03:50.51,-00:17:51.5,27.18,10.44,6.8,3.9,6.0,3.1,1.2,XXXX,-1.79,12.75,0.5,V,32,,1.0,3.9,-4.75,8.2,3.327
NGC 6541,,18:08:02.36,-43:42:53.6,349.29,-11.19,7.5,2.1,7.3,-1.4,-1.5,XXXX,-1.82,12.5,0.5,H,30,,1.0,2.1,-8.52,46.3,5.019
NGC 6584,,18:18:37.60,-52:12:56.8,342.14,-16.41,13.5,7.0,12.3,-4.0,-3.8,XXXX,-1.5,11.75,0.25,A,12-30,,-0.15,7.0,-7.69,24.7,4.112
NGC 6624,,18:23:40.51,-30:21:39.7,2.79,-7.91,7.9,1.2,7.8,0.4,-1.1,XXXX,-0.42,11.25,0.5,V,16,11.00–11.25,-1.0,1.2,-7.49,26.2,4.869
NGC 6637,M 69,18:31:23.10,-32:20:53.1,1.72,-10.27,8.8,1.7,8.6,0.3,-1.6,M69,-0.59,11.0,0.38,V,16,11.00–11.25,-1.0,1.7,-7.64,27.7,4.308
NGC 6652,,18:35:45.63,-32:59:26.6,1.53,-11.38,10.0,2.7,9.8,0.3,-2.0,XXXX,-0.76,11.25,0.25,V,16,11.00–11.25,-1.0,2.7,-6.66,23.9,4.583
NGC 6656,M 22,18:36:23.94,-23:54:17.1,9.89,-7.55,3.2,4.9,3.2,0.6,-0.4,M22,-1.7,12.5,0.5,H,30,,0.91,4.9,-8.5,33.9,4.311
NGC 6681,M 70,18:43:12.76,-32:17:31.6,2.85,-12.51,9.0,2.2,8.8,0.4,-2.0,M70,-1.62,12.75,0.38,A,30-32,,0.96,2.2,-7.12,29.3,5.21
NGC 6715,M 54,18:55:03.33,-30:28:47.5,5.61,-14.09,26.5,18.9,25.6,2.5,-6.5,M54,-1.44,11.75,0.5,V,32,,0.54,18.9,-9.98,59.7,4.968
NGC 6717,Pal 9,18:55:06.04,-22:42:05.3,12.88,-10.9,7.1,2.4,6.8,1.6,-1.3,XXXX,-1.26,12.5,0.5,V,13,,0.98,2.4,-5.66,16.3,4.458
NGC 6723,,18:59:33.15,-36:37:56.1,0.07,-17.3,8.7,2.6,8.3,0.0,-2.6,XXXX,-1.1,12.5,0.25,V,13,12.25–12.75,-0.08,2.6,-7.83,21.9,3.755
NGC 6752,,19:10:52.11,-59:59:04.4,336.49,-25.63,4.0,5.2,3.3,-1.4,-1.7,XXXX,-1.55,12.5,0.25,A,30,,1.0,5.2,-7.73,24.5,4.655
NGC 6779,M 56,19:16:35.57,+30:11:00.5,62.66,8.34,9.4,9.2,4.3,8.3,1.4,M56,-2.0,12.75,0.5,H,30,,0.98,9.2,-7.41,20.8,3.905
NGC 6809,M 55,19:39:59.71,-30:57:53.1,8.79,-23.27,5.4,3.9,4.9,0.8,-2.1,M55,-1.93,13.0,0.25,A,12-30,12.75–13.25,0.87,3.9,-7.57,18.3,3.515
NGC 6838,M 71,19:53:46.49,+18:46:45.1,56.75,-4.56,4.0,6.7,2.2,3.4,-0.3,M71,-0.82,11.0,0.38,V,16,11.00,-1.0,6.7,-5.61,13.0,3.746
NGC 6934,,20:34:11.37,+07:24:16.1,52.1,-18.89,15.6,12.8,9.1,11.7,-5.1,XXXX,-1.56,11.75,0.25,V,12-30,11.50–12.00,0.25,12.8,-7.45,21.6,3.998
NGC 6981,M 72,20:53:27.70,-12:32:14.3,35.16,-32.68,17.0,12.9,11.7,8.3,-9.2,M72,-1.48,11.5,0.25,V,12-30,11.25–11.75,0.14,12.9,-7.04,13.9,3.304
NGC 7078,M 15,21:29:58.33,+12:10:01.2,65.01,-27.31,10.4,10.4,3.9,8.3,-4.8,M15,-2.33,12.75,0.25,V,11,12.50–12.75,0.67,10.4,-9.19,41.6,4.827
NGC 7089,M 2,21:33:27.02,-00:49:23.7,53.37,-35.77,11.5,10.4,5.6,7.5,-6.7,M2,-1.66,11.75,0.25,A,12-30,11.50–11.75,0.92,10.4,-9.03,41.8,4.531
NGC 7099,M 30,21:40:22.12,-23:10:47.5,27.18,-46.84,8.1,7.1,4.9,2.5,-5.9,M30,-2.33,13.0,0.25,A,11-30,12.75–13.00,0.89,7.1,-7.45,25.4,4.831
